Date,Type,Name,Start,End,Duration
11/20/14,place,Home,2014-11-20T00:00:00-06:00,2014-11-20T06:55:25-06:00,24925
11/20/14,move,walking,2014-11-20T06:55:25-06:00,2014-11-20T07:16:07-06:00,1242
11/20/14,place,Spangler Center,2014-11-20T07:16:07-06:00,2014-11-20T07:57:32-06:00,2485
11/20/14,move,walking,2014-11-20T07:57:32-06:00,2014-11-20T08:06:38-06:00,546
11/20/14,place,Aldrich Hall,2014-11-20T08:06:37-06:00,2014-11-20T11:21:59-06:00,11722
11/20/14,move,walking,2014-11-20T11:21:59-06:00,2014-11-20T11:30:52-06:00,533
11/20/14,place,Harvard Innovation Lab,2014-11-20T11:30:53-06:00,2014-11-20T13:06:26-06:00,5733
11/20/14,move,transport,2014-11-20T13:06:26-06:00,2014-11-20T13:31:26-06:00,1500
11/20/14,place,Wasserstein Hall,2014-11-20T13:31:25-06:00,2014-11-20T14:12:32-06:00,2467
11/20/14,move,walking,2014-11-20T14:12:32-06:00,2014-11-20T14:28:47-06:00,975
11/20/14,place,Home,2014-11-20T14:28:47-06:00,2014-11-20T21:40:43-06:00,25916
11/20/14,move,walking,2014-11-20T21:40:43-06:00,2014-11-20T21:55:12-06:00,869
11/20/14,place,Home,2014-11-20T21:55:12-06:00,2014-11-21T00:00:00-06:00,7488
11/21/14,place,Home,2014-11-21T00:00:00-06:00,2014-11-21T06:33:49-06:00,23629
11/21/14,move,walking,2014-11-21T06:33:49-06:00,2014-11-21T06:52:24-06:00,1115
11/21/14,place,Harvard Innovation Lab,2014-11-21T06:52:24-06:00,2014-11-21T07:56:41-06:00,3857
11/21/14,move,walking,2014-11-21T07:56:41-06:00,2014-11-21T07:59:24-06:00,163
11/21/14,place,Aldrich Hall,2014-11-21T07:59:24-06:00,2014-11-21T11:17:58-06:00,11914
11/21/14,move,walking,2014-11-21T11:17:58-06:00,2014-11-21T11:24:47-06:00,409
11/21/14,place,Morgan Hall,2014-11-21T11:24:47-06:00,2014-11-21T12:15:46-06:00,3059
11/21/14,move,walking,2014-11-21T12:15:46-06:00,2014-11-21T12:21:57-06:00,371
11/21/14,place,Spangler Center,2014-11-21T12:21:57-06:00,2014-11-21T15:10:00-06:00,10083
11/21/14,move,walking,2014-11-21T15:10:00-06:00,2014-11-21T15:22:22-06:00,742
11/21/14,place,Park,2014-11-21T15:22:22-06:00,2014-11-21T15:34:04-06:00,702
11/21/14,move,walking,2014-11-21T15:34:04-06:00,2014-11-21T15:38:47-06:00,283
11/21/14,place,Starbucks,2014-11-21T15:38:47-06:00,2014-11-21T15:51:42-06:00,775
11/21/14,move,walking,2014-11-21T15:51:42-06:00,2014-11-21T15:59:39-06:00,477
11/21/14,place,Park,2014-11-21T15:59:39-06:00,2014-11-21T18:35:49-06:00,9370
11/21/14,move,transport,2014-11-21T18:35:49-06:00,2014-11-21T18:49:44-06:00,835
11/21/14,place,Lord Hobo,2014-11-21T18:49:44-06:00,2014-11-21T21:38:01-06:00,10097
11/21/14,move,transport,2014-11-21T21:38:01-06:00,2014-11-21T21:49:15-06:00,674
11/21/14,place,Home,2014-11-21T21:49:15-06:00,2014-11-22T00:00:00-06:00,7845
11/22/14,place,Home,2014-11-22T00:00:00-06:00,2014-11-22T09:46:20-06:00,35180
11/22/14,move,walking,2014-11-22T09:46:20-06:00,2014-11-22T10:19:35-06:00,1995
11/22/14,place,Harvard Stadium,2014-11-22T10:19:34-06:00,2014-11-22T11:22:05-06:00,3751
11/22/14,move,walking,2014-11-22T11:22:05-06:00,2014-11-22T11:24:45-06:00,160
